player.id,player.name,player.firstname,player.lastname,player.age,player.birth.date,player.birth.place,player.birth.country,player.nationality,player.height,player.weight,player.number,player.position,player.photo
26359,Christian Tiffert,Christian,Tiffert,43,1982-02-18,Halle,Germany,Germany,182 cm,78 kg,,Midfielder,https://media.api-sports.io/football/players/26359.png
104655,I. Vorsah,Isaac,Vorsah,37,1988-06-21,Accra,Ghana,Ghana,192 cm,85 kg,,Defender,https://media.api-sports.io/football/players/104655.png
105418,A. Ivanschitz,Andreas,Ivanschitz,41,1983-10-15,Eisenstadt,Austria,Austria,184 cm,82 kg,,Midfielder,https://media.api-sports.io/football/players/105418.png
48416,M. Janko,Marc,Janko,42,1983-06-25,Wien,Austria,Austria,196 cm,93 kg,,Attacker,https://media.api-sports.io/football/players/48416.png
1083,J. Onguéné,Jérôme Junior,Onguéné,27,1997-12-22,Mbalmayo,Cameroon,Cameroon,186 cm,81 kg,68,Defender,https://media.api-sports.io/football/players/1083.png
80836,Alan,Alan Douglas,Borges de Carvalho,36,1989-07-10,José Bonifácio,Brazil,China PR,184 cm,75 kg,11,Attacker,https://media.api-sports.io/football/players/80836.png
7754,M. Camara,Mohamed,Camara,25,2000-01-06,Bamako,Mali,Mali,174 cm,69 kg,4,Midfielder,https://media.api-sports.io/football/players/7754.png
1097,M. Dabbur,Moanes,Dabbur,33,1992-05-14,Nazareth,Israel,Israel,183 cm,78 kg,9,Attacker,https://media.api-sports.io/football/players/1097.png
1094,D. Samassékou,Diadie,Samassékou,29,1996-01-11,Bamako,Mali,Mali,175 cm,70 kg,18,Midfielder,https://media.api-sports.io/football/players/1094.png
1082,S. Lainer,Stefan,Lainer,33,1992-08-27,Salzburg,Austria,Austria,175 cm,73 kg,18,Defender,https://media.api-sports.io/football/players/1082.png
1805,Martin Josef Hinteregger,Martin Josef,Hinteregger,33,1992-09-07,Sankt Veit an der Glan,Austria,Austria,186 cm,82 kg,13,Defender,https://media.api-sports.io/football/players/1805.png
2083,Wanderson,Wanderson,Maciel Sousa Campos,31,1994-10-07,São Luís,Brazil,Brazil,176 cm,74 kg,11,Attacker,https://media.api-sports.io/football/players/2083.png
334429,O. Diakité,Oumar,Diakité,22,2003-12-20,Bingerville,Côte d'Ivoire,Côte d'Ivoire,182 cm,76 kg,22,Midfielder,https://media.api-sports.io/football/players/334429.png
329265,L. Morgalla,Leandro,Morgalla,21,2004-09-13,Biedenkopf,Germany,Germany,186 cm,74 kg,18,Defender,https://media.api-sports.io/football/players/329265.png
271066,R. Šimić,Roko,Šimić,22,2003-09-10,Milano,Italy,Croatia,190 cm,80 kg,9,Attacker,https://media.api-sports.io/football/players/271066.png
25277,H. Nielsen,Håvard,Kallevik Nielsen,32,1993-07-15,Oslo,Norway,Norway,187 cm,82 kg,16,Attacker,https://media.api-sports.io/football/players/25277.png
334178,Hendry Aron Blank,Hendry Aron,Blank,21,2004-08-21,,Germany,Germany,190 cm,77 kg,21,Defender,https://media.api-sports.io/football/players/334178.png
304026,A. Forson,Amankwah,Forson,23,2002-12-31,Accra,Ghana,Ghana,173 cm,65 kg,32,Midfielder,https://media.api-sports.io/football/players/304026.png
1098,P. Daka,Patson,Daka,27,1998-10-09,Chingola,Zambia,Zambia,183 cm,71 kg,20,Attacker,https://media.api-sports.io/football/players/1098.png
1079,C. Stanković,Cican,Stanković,33,1992-11-04,Bijeljina,Serbia,Austria,186 cm,80 kg,1,Goalkeeper,https://media.api-sports.io/football/players/1079.png
7325,A. Niangbo,Dogbole Franck Anderson,Niangbo,26,1999-10-06,,Côte d'Ivoire,Côte d'Ivoire,172 cm,65 kg,7,Attacker,https://media.api-sports.io/football/players/7325.png
362564,A. Daghim,Adam,Daghim,20,2005-09-28,Vanløse,Denmark,Denmark,186 cm,75 kg,28,Midfielder,https://media.api-sports.io/football/players/362564.png
656,O. Solet,Oumar Mickaël,Solet Bomawoko,25,2000-02-07,Melun,France,France,192 cm,88 kg,22,Defender,https://media.api-sports.io/football/players/656.png
1851,V. Berisha,Valon,Berisha,32,1993-02-07,Malmö,Sweden,Kosovo,176 cm,70 kg,14,Midfielder,https://media.api-sports.io/football/players/1851.png
77623,Y. Diarra,Hamaciré Youba,Diarra,27,1998-03-24,Bamako,Mali,Mali,178 cm,81 kg,5,Midfielder,https://media.api-sports.io/football/players/77623.png
1902,D. Ćaleta-Car,Duje,Ćaleta-Car,29,1996-09-17,Šibenik,Croatia,Croatia,192 cm,89 kg,55,Defender,https://media.api-sports.io/football/players/1902.png
1101,T. Minamino,Takumi,Minamino,30,1995-01-16,Osaka,Japan,Japan,172 cm,68 kg,18,Midfielder,https://media.api-sports.io/football/players/1101.png
7313,P. Köhn,Philipp François,Köhn,27,1998-04-02,Dinslaken,Germany,Switzerland,190 cm,80 kg,16,Goalkeeper,https://media.api-sports.io/football/players/7313.png
25353,V. Lazaro,Valentino Lando,Lazaro,29,1996-03-24,Graz,Austria,Austria,180 cm,75 kg,20,Defender,https://media.api-sports.io/football/players/25353.png
48389,N. Okafor,Noah Arinzechukwu,Okafor,25,2000-05-24,Binningen,Switzerland,Switzerland,185 cm,85 kg,17,Attacker,https://media.api-sports.io/football/players/48389.png
45826,S. Pavlović,Strahinja,Pavlović,24,2001-05-24,Šabac,Yugoslavia,Serbia,194 cm,88 kg,31,Defender,https://media.api-sports.io/football/players/45826.png
